scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22108.0,125.0,0.602,0.8272,0.0377,0.1216,0.0001,0.0,0.0001,0.0,0.0003,0.0,0.0001,0.0038,0.5,0.0001,0.0,inf,0.0,1.9079
ds2,static,22528.0,110.0,0.5124,0.7944,0.0112,0.1161,0.0,0.0002,0.0,0.0004,0.0001,0.0008,0.0,-0.0173,0.4998,0.0,0.0004,inf,0.0,1.9079
ds3,static,22563.0,120.0,0.5565,0.7893,0.0266,0.0938,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.5,0.0,0.0,inf,0.0,1.9079
ds4,static,22579.0,114.0,0.6423,0.8486,0.0603,0.1497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,1.9079
ds5,dynamic,20569.0,102.0,0.3709,0.7214,0.0167,0.0517,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0038,0.5,0.0001,0.0,inf,0.0,1.9079
ds6,dynamic,20577.0,105.0,0.3995,0.7075,0.0053,0.0291,0.0,0.0,0.0,0.0002,0.0001,0.0002,0.0,-0.0124,0.4999,0.0,0.0002,inf,0.0,1.9079
ds7,static,23169.0,110.0,0.6432,0.8635,0.0655,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,1.9079
ds8,static,22611.0,110.0,0.6635,0.8786,0.0426,0.1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,1.9079
ALL,-,176704.0,,0.5521,0.8072,0.0272,0.1006,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0,-0.0046,0.5,0.0,0.0001,,0.0,
MACRO,-,,,0.5488,,0.0332,0.1122,0.0,,0.0,,0.0001,,,,,,,,,
