scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22108.0,125.0,0.9987,0.9997,0.9969,0.9974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,0.4495
ds2,static,22528.0,110.0,0.9859,0.9799,0.0153,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,0.4495
ds3,static,22563.0,120.0,0.8273,0.9338,0.1173,0.5349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,0.4495
ds4,static,22579.0,114.0,0.9925,0.9979,0.9417,0.9693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,0.4495
ds5,dynamic,20569.0,102.0,0.9986,0.9996,0.9953,0.9972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,0.4495
ds6,dynamic,20577.0,105.0,0.9536,0.9693,0.0519,0.8153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,0.4495
ds7,static,23169.0,110.0,0.923,0.9798,0.7451,0.8171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,0.4495
ds8,static,22611.0,110.0,0.9844,0.9959,0.7235,0.9791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,0.4495
ALL,-,176704.0,,0.9544,0.9862,0.7628,0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,
MACRO,-,,,0.958,,0.5734,0.8885,0.0,,0.0,,0.0,,,,,,,,,
