scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22108.0,125.0,0.9726,0.9872,0.397,0.8678,0.0004,0.0,0.0017,0.0,0.0024,0.0,0.0034,0.0203,0.5009,0.0017,0.0,inf,0.0,0.8657
ds2,static,22528.0,110.0,0.76,0.9065,0.0864,0.2795,0.0005,0.0002,0.0025,0.001,0.0078,0.0027,0.0051,0.0142,0.5008,0.0025,0.001,60.44,1.0,0.8657
ds3,static,22563.0,120.0,0.6142,0.8101,0.0188,0.0843,0.0,0.0,0.0001,0.0,0.0012,0.0,0.0002,0.0055,0.5001,0.0001,0.0,inf,0.0,0.8657
ds4,static,22579.0,114.0,0.7667,0.9054,0.0836,0.2733,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.5,0.0,0.0,inf,0.0,0.8657
ds5,dynamic,20569.0,102.0,0.7032,0.8915,0.1139,0.2615,0.0,0.0,0.0008,0.0,0.0039,0.0,0.0015,0.0133,0.5004,0.0008,0.0,77.42,1.0,0.8657
ds6,dynamic,20577.0,105.0,0.516,0.7644,0.0062,0.045,0.0,0.0,0.0001,0.0,0.0002,0.0008,0.0001,0.0039,0.5,0.0001,0.0,inf,0.0,0.8657
ds7,static,23169.0,110.0,0.7925,0.9305,0.1925,0.3908,0.0,0.0,0.0002,0.0,0.0017,0.0,0.0004,0.007,0.5001,0.0002,0.0,inf,0.0,0.8657
ds8,static,22611.0,110.0,0.7999,0.9373,0.1605,0.3771,0.0,0.0,0.0003,0.0,0.0018,0.0,0.0006,0.0075,0.5001,0.0003,0.0,inf,0.0,0.8657
ALL,-,176704.0,,0.747,0.9043,0.1002,0.3067,0.0001,0.0,0.0007,0.0001,0.0024,0.0004,0.0014,0.0104,0.5003,0.0007,0.0001,,2.0,
MACRO,-,,,0.7406,,0.1324,0.3224,0.0001,,0.0007,,0.0024,,,,,,,,,
