auc,tpr1,rfpr1,tpr5,rfpr5,tpr10,rfpr10,hits,variant
0.978675,0.872375,0.0077875,0.9466374999999999,0.0996,0.9676625000000001,0.2898,8,max_EWMA+MEWMA
0.983975,0.8672875,0.007225,0.9626,0.14405,0.977075,0.30943750000000003,8,mean_EWMA+MEWMA
0.983975,0.8672875,0.007225,0.9626,0.14405,0.977075,0.30943750000000003,8,median_EWMA+MEWMA
0.978675,0.8805000000000001,0.00885,0.9466374999999999,0.0996,0.9676625000000001,0.2898,8,or3_EWMA+MEWMA
0.9819625,0.8616874999999999,0.0066875,0.9578875,0.14601250000000002,0.975525,0.3290875,8,rank_EWMA+MEWMA
0.9916125,0.922075,0.0012375,0.9755375000000001,0.11601249999999999,0.9803625,0.274275,8,max_EWMA+MCUSUM
0.9922,0.8784125,0.0,0.91115,0.0,0.918775,0.0,8,mean_EWMA+MCUSUM
0.9922,0.8784125,0.0,0.91115,0.0,0.918775,0.0,8,median_EWMA+MCUSUM
0.9916125,0.958,0.00885,0.9755375000000001,0.11601249999999999,0.9803625,0.274275,8,or3_EWMA+MCUSUM
0.9927375,0.9113625,0.0,0.945525,0.0006,0.9525250000000001,0.0092375,8,rank_EWMA+MCUSUM
0.98505,0.8004875,0.0017749999999999999,0.96275,0.13716250000000002,0.97685,0.2913875,8,max_EWMA+CUSUM
0.9841625,0.78945,0.00043749999999999995,0.9609749999999999,0.13119999999999998,0.9764375000000001,0.2853125,8,mean_EWMA+CUSUM
0.9841625,0.78945,0.00043749999999999995,0.9609749999999999,0.13119999999999998,0.9764375000000001,0.2853125,8,median_EWMA+CUSUM
0.98505,0.8837625,0.00885,0.96275,0.13716250000000002,0.97685,0.2913875,8,or3_EWMA+CUSUM
0.9684375000000001,0.7759,0.00765,0.8375125,0.098475,0.973975,0.25493750000000004,8,rank_EWMA+CUSUM
0.9788375,0.8590125,0.027249999999999996,0.9618875,0.1852375,0.9780500000000001,0.33481249999999996,8,max_EWMA+KnnDist
0.97515,0.8592,0.022887499999999998,0.947425,0.211175,0.9722124999999999,0.370825,8,mean_EWMA+KnnDist
0.97515,0.8592,0.022887499999999998,0.947425,0.211175,0.9722124999999999,0.370825,8,median_EWMA+KnnDist
0.9788375,0.8865875,0.04285,0.9618875,0.1852375,0.9780500000000001,0.33481249999999996,8,or3_EWMA+KnnDist
0.974475,0.8610125,0.01935,0.9455875,0.2051625,0.9688125000000001,0.37061249999999996,8,rank_EWMA+KnnDist
0.9790375,0.8572375,0.007825,0.927125,0.0497875,0.9474500000000001,0.1078,8,max_EWMA+Mahalanobis
0.9824375000000001,0.8483375,0.0072250000000000005,0.9455125,0.094475,0.968175,0.2202375,8,mean_EWMA+Mahalanobis
0.9824375000000001,0.8483375,0.0072250000000000005,0.9455125,0.094475,0.968175,0.2202375,8,median_EWMA+Mahalanobis
0.9790375,0.8756999999999999,0.0106,0.927125,0.0497875,0.9474500000000001,0.1078,8,or3_EWMA+Mahalanobis
0.9650375,0.794025,0.006837500000000001,0.8925125,0.0710125,0.9255374999999999,0.16873749999999998,8,rank_EWMA+Mahalanobis
0.9807,0.8478749999999999,0.015625,0.9564874999999999,0.1414125,0.9751375,0.29435,8,max_EWMA+OCSVM
0.9465125,0.8422624999999999,0.017575,0.9075125,0.17809999999999998,0.9311125,0.3329625,8,mean_EWMA+OCSVM
0.9465125,0.8422624999999999,0.017575,0.9075125,0.17809999999999998,0.9311125,0.3329625,8,median_EWMA+OCSVM
0.9807,0.8804625,0.027562499999999997,0.9564874999999999,0.1414125,0.9751375,0.29435,8,or3_EWMA+OCSVM
0.9483125,0.843675,0.02155,0.910275,0.2215625,0.935325,0.3883875,8,rank_EWMA+OCSVM
0.990975,0.910925,0.0007125,0.9755,0.0662875,0.9798375,0.2578625,8,max_MEWMA+MCUSUM
0.992125,0.8777625,0.0,0.9115125,0.0,0.9191625,0.0,8,mean_MEWMA+MCUSUM
0.992125,0.8777625,0.0,0.9115125,0.0,0.9191625,0.0,8,median_MEWMA+MCUSUM
0.990975,0.941925,0.0051125,0.9755,0.0662875,0.9798375,0.2578625,8,or3_MEWMA+MCUSUM
0.9921,0.8956875,0.0,0.9448375,0.0003125,0.9523375000000001,0.0052250000000000005,8,rank_MEWMA+MCUSUM
0.9773375000000001,0.7911750000000001,0.00095,0.9353,0.089525,0.966,0.28085,8,max_MEWMA+CUSUM
0.9756625,0.783525,0.000125,0.9300125,0.0828625,0.964375,0.2630125,8,mean_MEWMA+CUSUM
0.9756625,0.783525,0.000125,0.9300125,0.0828625,0.964375,0.2630125,8,median_MEWMA+CUSUM
0.9773375000000001,0.84205,0.0051125,0.9353,0.089525,0.966,0.28085,8,or3_MEWMA+CUSUM
0.9630750000000001,0.7696624999999999,0.00405,0.8366750000000001,0.0951625,0.9603625,0.2339625,8,rank_MEWMA+CUSUM
0.969625,0.8268875,0.026024999999999996,0.934375,0.13406249999999997,0.96715,0.3137625,8,max_MEWMA+KnnDist
0.9609874999999999,0.83925,0.022262499999999998,0.921,0.20292499999999997,0.9486125000000001,0.3463625,8,mean_MEWMA+KnnDist
0.9609874999999999,0.83925,0.022262499999999998,0.921,0.20292499999999997,0.9486125000000001,0.3463625,8,median_MEWMA+KnnDist
0.969625,0.8564875000000001,0.0408375,0.934375,0.13406249999999997,0.96715,0.3137625,8,or3_MEWMA+KnnDist
0.9713624999999999,0.8529125,0.011425000000000001,0.9385875,0.193125,0.9654875,0.397725,8,rank_MEWMA+KnnDist
0.9755625,0.803775,0.005487499999999999,0.8974249999999999,0.037099999999999994,0.9408375,0.1277375,8,max_MEWMA+Mahalanobis
0.9682625,0.8064125,0.0056749999999999995,0.8941375,0.0449375,0.920725,0.11381250000000001,8,mean_MEWMA+Mahalanobis
0.9682625,0.8064125,0.0056749999999999995,0.8941375,0.0449375,0.920725,0.11381250000000001,8,median_MEWMA+Mahalanobis
0.9755625,0.832175,0.00755,0.8974249999999999,0.037099999999999994,0.9408375,0.1277375,8,or3_MEWMA+Mahalanobis
0.9614375,0.7972125,0.0062375,0.89005,0.0669875,0.9230625,0.1722,8,rank_MEWMA+Mahalanobis
0.9728749999999999,0.8197,0.014325000000000001,0.9290125,0.10225000000000001,0.9643250000000001,0.27871250000000003,8,max_MEWMA+OCSVM
0.9272,0.8251625,0.016575,0.88265,0.15647499999999998,0.9053875,0.2946125,8,mean_MEWMA+OCSVM
0.9272,0.8251625,0.016575,0.88265,0.15647499999999998,0.9053875,0.2946125,8,median_MEWMA+OCSVM
0.9728749999999999,0.8513999999999999,0.025112500000000003,0.9290125,0.10225000000000001,0.9643250000000001,0.27871250000000003,8,or3_MEWMA+OCSVM
0.9422,0.8419125,0.014512500000000001,0.905775,0.22207500000000002,0.9310125,0.4088125,8,rank_MEWMA+OCSVM
0.9696625000000001,0.897875,0.0,0.9303250000000001,0.059125,0.9373374999999999,0.10661250000000001,8,max_MCUSUM+CUSUM
0.9920875,0.8807750000000001,0.0,0.9115,0.0,0.91875,0.0,8,mean_MCUSUM+CUSUM
0.9920875,0.8807750000000001,0.0,0.9115,0.0,0.91875,0.0,8,median_MCUSUM+CUSUM
0.9696625000000001,0.9068875,0.0,0.9303250000000001,0.059125,0.9373374999999999,0.10661250000000001,8,or3_MCUSUM+CUSUM
0.9922,0.752625,0.0,0.9094500000000001,0.0,0.9279875,0.0,8,rank_MCUSUM+CUSUM
0.9902375,0.9272,0.0079375,0.9660250000000001,0.1701,0.9776375,0.31345,8,max_MCUSUM+KnnDist
0.9923875,0.8808500000000001,0.0,0.9123,0.0,0.92075,0.0,8,mean_MCUSUM+KnnDist
0.9923875,0.8808500000000001,0.0,0.9123,0.0,0.92075,0.0,8,median_MCUSUM+KnnDist
