scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,tpr@cf10,rfpr@10,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9991,0.9998,0.9982,0.9983,0.9982,0.0,0.9982,0.0328,0.9988,0.2637,0.9991,0.9963,0.9991,0.9982,0.0,0.04,1.0,0.0
ds2,static,22528.0,110.0,0.9999,1.0,0.9997,0.9997,0.9995,0.0002,0.9997,0.0414,0.9997,0.2839,0.9997,0.9989,0.9997,0.9995,0.0002,0.04,1.0,0.0
ds3,static,22563.0,120.0,1.0,1.0,1.0,1.0,1.0,0.0023,1.0,0.0402,1.0,0.2671,0.9996,0.9985,0.9989,1.0,0.0023,0.04,1.0,0.0
ds4,dynamic,22579.0,114.0,0.9999,1.0,0.9978,0.9996,0.9793,0.0,0.9994,0.0372,1.0,0.2662,0.9895,0.9584,0.9897,0.9793,0.0,0.04,1.0,0.0
ds5,dynamic,20569.0,102.0,0.9997,0.9999,0.9992,0.9993,0.9992,0.0319,0.9993,0.1915,0.9998,0.4449,0.9948,0.9774,0.9836,0.9992,0.0319,0.06,1.0,0.0
ds6,static,20577.0,105.0,0.9999,1.0,1.0,1.0,1.0,0.0364,1.0,0.1956,1.0,0.4432,0.9943,0.9761,0.9818,1.0,0.0364,0.06,1.0,0.0
ds7,static,23169.0,110.0,0.9387,0.9842,0.8419,0.8621,0.741,0.0,0.8279,0.0039,0.8565,0.0391,0.8512,0.6243,0.8705,0.741,0.0,51.96,1.0,0.0
ds8,static,22611.0,110.0,0.9907,0.998,0.9833,0.9847,0.9742,0.0,0.9826,0.0059,0.9843,0.0425,0.9869,0.9409,0.9871,0.9742,0.0,0.04,1.0,0.0
ALL,-,176799.0,,0.9825,0.9957,0.9609,0.9733,0.9592,0.0084,0.9744,0.0667,0.9787,0.2564,0.9779,0.9135,0.9754,0.9592,0.0084,,8.0,
MACRO,-,,,0.991,,0.9775,0.9805,0.9614,,0.9759,,,,,,,,,,,
