scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,tpr@cf10,rfpr@10,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9992,0.9998,0.9982,0.9983,0.9982,0.0188,0.9986,0.1628,0.9989,0.3069,0.9961,0.9839,0.9897,0.9982,0.0188,0.04,1.0,0.0
ds2,static,22528.0,110.0,0.9999,1.0,0.9997,0.9997,0.9997,0.0195,0.9997,0.17,0.9998,0.3166,0.9969,0.9866,0.9901,0.9997,0.0195,0.04,1.0,0.0
ds3,static,22563.0,120.0,0.7857,0.9208,0.3404,0.4128,0.3713,0.0231,0.5655,0.1668,0.6957,0.3085,0.5385,0.3351,0.6741,0.3713,0.0231,0.04,1.0,0.0
ds4,dynamic,22579.0,114.0,0.9769,0.9931,0.8354,0.9004,0.8626,0.0181,0.9534,0.1649,0.9777,0.3181,0.9234,0.76,0.9222,0.8626,0.0181,0.18,1.0,0.0
ds5,dynamic,20569.0,102.0,0.9997,0.9999,0.999,0.9992,0.9994,0.1148,0.9996,0.4269,0.9997,0.604,0.9827,0.9236,0.9423,0.9994,0.1148,0.06,1.0,0.0
ds6,static,20577.0,105.0,0.9121,0.9698,0.3825,0.6459,0.7855,0.1165,0.947,0.4228,0.9755,0.5981,0.8622,0.5895,0.8345,0.7855,0.1165,0.06,1.0,0.0
ds7,static,23169.0,110.0,0.9525,0.9867,0.7591,0.8211,0.736,0.0041,0.8185,0.0487,0.8687,0.1195,0.8474,0.6161,0.866,0.736,0.0041,53.6,1.0,0.0
ds8,static,22611.0,110.0,0.9924,0.9982,0.9515,0.9816,0.9206,0.0037,0.9817,0.0511,0.9866,0.1277,0.9582,0.8358,0.9585,0.9206,0.0037,0.16,1.0,0.0
ALL,-,176799.0,,0.9481,0.9853,0.7766,0.843,0.8337,0.0387,0.9072,0.1994,0.9371,0.3354,0.9036,0.7034,0.8975,0.8337,0.0387,,8.0,
MACRO,-,,,0.9523,,0.7832,0.8449,0.8342,,0.908,,,,,,,,,,,
