scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,tpr@cf10,rfpr@10,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9979,0.9992,0.997,0.9983,0.9987,0.1348,0.9989,0.2786,0.9991,0.3914,0.9783,0.9078,0.9319,0.9987,0.1348,0.04,1.0,0.0
ds2,static,22528.0,110.0,0.9999,1.0,0.9997,0.9997,0.9997,0.1363,0.9998,0.2856,0.9998,0.3908,0.98,0.9103,0.9317,0.9997,0.1363,0.04,1.0,0.0
ds3,static,22563.0,120.0,0.6833,0.8815,0.296,0.3369,0.4057,0.1336,0.5257,0.2794,0.6104,0.3887,0.5594,0.2497,0.6361,0.4057,0.1336,0.04,1.0,0.0
ds4,dynamic,22579.0,114.0,0.9312,0.9789,0.659,0.7472,0.8337,0.1346,0.9142,0.2783,0.9433,0.3967,0.889,0.6319,0.8496,0.8337,0.1346,0.18,1.0,0.0
ds5,dynamic,20569.0,102.0,0.9997,0.9999,0.999,0.9992,0.9996,0.1648,0.9997,0.3573,0.9997,0.4891,0.9756,0.891,0.9174,0.9996,0.1648,0.06,1.0,0.0
ds6,static,20577.0,105.0,0.9279,0.9761,0.5408,0.7271,0.8681,0.1653,0.9425,0.3604,0.9656,0.4932,0.9042,0.654,0.8514,0.8681,0.1653,0.06,1.0,0.0
ds7,static,23169.0,110.0,0.924,0.9792,0.7258,0.7774,0.7144,0.0048,0.7557,0.0321,0.7912,0.0694,0.8327,0.5947,0.8548,0.7144,0.0048,62.68,1.0,0.0
ds8,static,22611.0,110.0,0.9621,0.9904,0.7593,0.8371,0.7425,0.0059,0.8245,0.041,0.8739,0.0938,0.8515,0.6041,0.8683,0.7425,0.0059,2.42,1.0,0.0
ALL,-,176799.0,,0.917,0.9765,0.7404,0.7829,0.8175,0.1111,0.8676,0.2407,0.8958,0.3411,0.8833,0.6268,0.8532,0.8175,0.1111,,8.0,
MACRO,-,,,0.9282,,0.7471,0.8029,0.8203,,0.8701,,,,,,,,,,,
