scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,tpr@cf10,rfpr@10,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,1.0,1.0,1.0,1.0,0.9805,0.0,0.9843,0.0,0.9852,0.0,0.9902,0.9613,0.9903,0.9805,0.0,0.04,1.0,0.0
ds2,static,22528.0,110.0,0.9995,0.9998,0.9838,1.0,0.9642,0.0,0.9713,0.0,0.9728,0.0,0.9818,0.9277,0.9821,0.9642,0.0,5.9,1.0,0.0
ds3,static,22563.0,120.0,1.0,1.0,1.0,1.0,0.9192,0.0,0.9361,0.0,0.9401,0.0,0.9579,0.8609,0.9596,0.9192,0.0,20.78,1.0,0.0
ds4,dynamic,22579.0,114.0,1.0,1.0,1.0,1.0,0.6965,0.0,0.8552,0.0,0.8868,0.0,0.8211,0.5942,0.8482,0.6965,0.0,96.3,1.0,0.0
ds5,dynamic,20569.0,102.0,0.9999,1.0,0.9952,1.0,0.9666,0.0,0.9729,0.0,0.9743,0.0,0.983,0.9328,0.9833,0.9666,0.0,3.76,1.0,0.0
ds6,static,20577.0,105.0,1.0,1.0,1.0,1.0,0.9393,0.0,0.9527,0.0,0.9557,0.0,0.9687,0.8873,0.9697,0.9393,0.0,12.38,1.0,0.0
ds7,static,23169.0,110.0,0.9413,0.9843,0.8404,0.8486,0.6428,0.0,0.6879,0.0,0.6971,0.0,0.7826,0.5354,0.8214,0.6428,0.0,122.04,1.0,0.0
ds8,static,22611.0,110.0,0.9949,0.9988,0.976,0.9799,0.8915,0.0,0.9134,0.0,0.9188,0.0,0.9427,0.7915,0.9458,0.8915,0.0,21.36,1.0,0.0
ALL,-,176799.0,,0.9788,0.9944,0.9469,0.9549,0.8719,0.0,0.9066,0.0,0.9139,0.0,0.9315,0.7825,0.9359,0.8719,0.0,,8.0,
MACRO,-,,,0.992,,0.9744,0.9786,0.8751,,0.9092,,,,,,,,,,,
