scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,tpr@cf10,rfpr@10,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9991,0.9998,0.9982,0.9983,0.9982,0.0,0.9984,0.0676,0.9988,0.3149,0.9991,0.9963,0.9991,0.9982,0.0,0.04,1.0,0.0
ds2,static,22528.0,110.0,0.9999,1.0,0.9996,0.9996,0.9995,0.0,0.9997,0.0804,0.9998,0.3315,0.9998,0.999,0.9998,0.9995,0.0,0.04,1.0,0.0
ds3,static,22563.0,120.0,0.8996,0.965,0.47,0.6252,0.327,0.0019,0.6866,0.076,0.8912,0.318,0.4926,0.3278,0.6625,0.327,0.0019,0.04,1.0,0.0
ds4,dynamic,22579.0,114.0,0.9998,0.9999,0.9943,0.9994,0.8537,0.0,0.9998,0.0709,1.0,0.3083,0.9211,0.7624,0.9268,0.8537,0.0,0.04,1.0,0.0
ds5,dynamic,20569.0,102.0,0.9997,0.9999,0.9992,0.9992,0.9992,0.0168,0.9993,0.2472,0.9999,0.4836,0.9971,0.9873,0.9912,0.9992,0.0168,0.06,1.0,0.0
ds6,static,20577.0,105.0,0.985,0.9932,0.4034,0.978,0.7856,0.0222,0.9978,0.2438,0.9994,0.484,0.8765,0.6655,0.8817,0.7856,0.0222,0.06,1.0,0.0
ds7,static,23169.0,110.0,0.9387,0.9842,0.8398,0.8616,0.7108,0.0,0.8365,0.0054,0.8595,0.0456,0.831,0.5953,0.8554,0.7108,0.0,69.46,1.0,0.0
ds8,static,22611.0,110.0,0.9907,0.998,0.9833,0.9847,0.9714,0.0,0.9831,0.0067,0.9847,0.0503,0.9855,0.9349,0.9857,0.9714,0.0,0.04,1.0,0.0
ALL,-,176799.0,,0.9693,0.9918,0.8736,0.9165,0.8305,0.0049,0.9365,0.0981,0.9655,0.2927,0.9067,0.7257,0.9128,0.8305,0.0049,,8.0,
MACRO,-,,,0.9766,,0.836,0.9308,0.8307,,0.9376,,,,,,,,,,,
