scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,tpr@cf10,rfpr@10,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9991,0.9998,0.9982,0.9983,0.9982,0.0,0.9982,0.0037,0.9982,0.0285,0.9991,0.9963,0.9991,0.9982,0.0,0.04,1.0,0.0
ds2,static,22528.0,110.0,0.9998,1.0,0.9996,0.9997,0.9996,0.0,0.9996,0.005,0.9997,0.0292,0.9998,0.9991,0.9998,0.9996,0.0,0.04,1.0,0.0
ds3,static,22563.0,120.0,0.7872,0.9247,0.3648,0.4715,0.2858,0.0021,0.3619,0.0092,0.4337,0.0335,0.4444,0.2999,0.6419,0.2858,0.0021,0.2,1.0,0.0
ds4,dynamic,22579.0,114.0,0.9817,0.9947,0.8822,0.9303,0.7093,0.0,0.8642,0.0056,0.9156,0.0316,0.8299,0.6061,0.8547,0.7093,0.0,0.4,1.0,0.0
ds5,dynamic,20569.0,102.0,0.9996,0.9999,0.999,0.9992,0.9991,0.0187,0.9992,0.0982,0.9994,0.2043,0.9967,0.9858,0.9902,0.9991,0.0187,0.06,1.0,0.0
ds6,static,20577.0,105.0,0.9145,0.9681,0.3133,0.6013,0.4105,0.0216,0.7545,0.1007,0.8752,0.2052,0.5793,0.3563,0.6945,0.4105,0.0216,0.06,1.0,0.0
ds7,static,23169.0,110.0,0.909,0.9758,0.7361,0.7782,0.6981,0.0006,0.7458,0.0164,0.775,0.0449,0.8221,0.583,0.8488,0.6981,0.0006,100.08,1.0,0.0
ds8,static,22611.0,110.0,0.9911,0.998,0.9605,0.9796,0.8481,0.0004,0.966,0.0139,0.9786,0.0418,0.9177,0.7294,0.9238,0.8481,0.0004,0.4,1.0,0.0
ALL,-,176799.0,,0.9458,0.9851,0.7865,0.8566,0.7458,0.0052,0.8365,0.0302,0.8715,0.0748,0.8536,0.6323,0.8703,0.7458,0.0052,,8.0,
MACRO,-,,,0.9478,,0.7817,0.8448,0.7436,,0.8362,,,,,,,,,,,
