scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,tpr@cf10,rfpr@10,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.8024,0.8914,0.1881,0.1882,0.1881,0.0115,0.1882,0.0618,0.1883,0.1214,0.3157,0.2145,0.5883,0.1881,0.0115,0.62,1.0,1986.2876
ds2,static,22528.0,110.0,0.7887,0.8831,0.1337,0.1425,0.1342,0.0106,0.1444,0.0619,0.1502,0.1213,0.236,0.1689,0.5618,0.1342,0.0106,6.18,1.0,1986.2876
ds3,static,22563.0,120.0,0.6772,0.8086,0.0253,0.0517,0.0261,0.0104,0.0585,0.0608,0.0887,0.1209,0.0507,0.0463,0.5079,0.0261,0.0104,10.86,1.0,1986.2876
ds4,dynamic,22579.0,114.0,0.7576,0.8221,0.0136,0.0294,0.0152,0.0121,0.0332,0.0668,0.0513,0.124,0.0298,0.011,0.5015,0.0152,0.0121,100.4,1.0,1986.2876
ds5,dynamic,20569.0,102.0,0.7856,0.881,0.1417,0.1455,0.1411,0.0076,0.1455,0.0523,0.1484,0.1011,0.2468,0.1798,0.5668,0.1411,0.0076,3.18,1.0,1986.2876
ds6,static,20577.0,105.0,0.732,0.8398,0.041,0.0688,0.0388,0.0075,0.0706,0.0525,0.0975,0.0986,0.0745,0.0765,0.5156,0.0388,0.0075,6.28,1.0,1986.2876
ds7,static,23169.0,110.0,0.7429,0.8559,0.0427,0.0651,0.0445,0.0114,0.0719,0.0661,0.1013,0.1342,0.085,0.0729,0.5165,0.0445,0.0114,115.78,1.0,1986.2876
ds8,static,22611.0,110.0,0.7837,0.8841,0.0596,0.082,0.061,0.0111,0.0893,0.0661,0.1156,0.1337,0.1147,0.0917,0.525,0.061,0.0111,2.04,1.0,1986.2876
ALL,-,176799.0,,0.7569,0.8628,0.0801,0.0962,0.0806,0.0103,0.0997,0.0611,0.1174,0.1196,0.1487,0.1209,0.5351,0.0806,0.0103,,8.0,
MACRO,-,,,0.7588,,0.0807,0.0966,0.0811,,0.1002,,,,,,,,,,,
