ver,method,AUC,tpr@fpr1,tpr@cf0.1,rfpr0.1,tpr@cf1,rfpr1,tpr@cf5,rfpr5,ADD
v31,Cusum_SingleVar_Online,0.9017,0.7822,0.7188,0.0,0.7437,0.0,0.7977,0.0685,8/8
v31,Ewma_SingleVar_Online,0.9845,0.8549,0.584,0.0,0.8748,0.0088,0.9646,0.1525,8/8
v31,HotellingT2_MultiVar_ProcessMonitoring,0.8269,0.4132,0.0785,0.0,0.2844,0.0004,0.3709,0.0044,6/8
v31,IsolationForest_MultiVar_NonGaussian,0.8827,0.4691,0.1034,0.0001,0.3237,0.0052,0.5408,0.0331,8/8
v31,KnnDist,0.9523,0.7832,0.6952,0.0015,0.8342,0.0398,0.908,0.2017,8/8
v31,Lof_MultiVar_LocalDensity,0.9282,0.7471,0.7659,0.0267,0.8203,0.11,0.8701,0.2391,8/8
v31,MahalanobisMCD,0.7588,0.0807,0.0684,0.0005,0.0811,0.0103,0.1002,0.0611,8/8
v31,Mahalanobis_MultiVar_Gaussian,0.9478,0.7817,0.4266,0.0,0.7436,0.0054,0.8362,0.0316,8/8
v31,Ocsvm_nu0.01_g0.5,0.9316,0.7667,0.905,0.3511,0.9051,0.3519,0.9053,0.3537,8/8
v31,Ocsvm_nu0.01_gscale,0.9081,0.7677,0.7021,0.0013,0.8157,0.0396,0.8572,0.1808,8/8
v31,Ocsvm_nu0.02_g0.5,0.9316,0.7667,0.9051,0.3518,0.9052,0.3522,0.9052,0.3533,8/8
v31,Ocsvm_nu0.02_gscale,0.9164,0.7664,0.65,0.0008,0.81,0.0232,0.863,0.1525,8/8
v31,OneClassSvm_MultiVar_Boundary,0.9081,0.7677,0.7021,0.0013,0.8157,0.0396,0.8572,0.1808,8/8
v31,PcaReconstruction_MultiVar_Correlated,0.601,0.2173,0.1046,0.0008,0.1788,0.007,0.2463,0.038,5/8
v31,StatZCN0,0.7021,0.0185,0.0083,0.002,0.0141,0.0189,0.0359,0.0868,2/8
v31,StatZ,0.7504,0.0054,0.0015,0.0014,0.0076,0.0148,0.0358,0.0685,0/8
v31,StatisticalThreshold_SingleVar_Gaussian,0.9402,0.7459,0.2719,0.0,0.697,0.0047,0.8016,0.0341,8/8
v31,StlResidual_SingleVar_Seasonal,0.5516,0.0523,0.0003,0.0,0.018,0.0031,0.0747,0.0281,6/8
v30,Cusum_SingleVar_Online,0.9368,0.859,0.7813,0.0,0.8038,0.0,0.8587,0.0753,8/8
v30,Ewma_SingleVar_Online,0.986,0.8686,0.473,0.0,0.8329,0.0085,0.9535,0.1432,8/8
v30,HotellingT2_MultiVar_ProcessMonitoring,0.864,0.5523,0.3675,0.0009,0.5694,0.0201,0.6874,0.0908,8/8
v30,IsolationForest_MultiVar_NonGaussian,0.9082,0.4433,0.0128,0.0,0.2863,0.0046,0.613,0.0391,8/8
v30,KnnDist,0.9408,0.7226,0.5524,0.0013,0.7535,0.0406,0.8646,0.2055,8/8
v30,Lof_MultiVar_LocalDensity,0.8955,0.5013,0.6192,0.0589,0.7127,0.1617,0.7976,0.3016,8/8
v30,MahalanobisMCD,0.8373,0.0586,0.0315,0.0003,0.0543,0.0079,0.0813,0.0414,5/8
v30,Mahalanobis_MultiVar_Gaussian,0.9342,0.6997,0.3679,0.0,0.64,0.0047,0.7684,0.0301,8/8
v30,Ocsvm_nu0.01_g0.5,0.8986,0.6828,0.8209,0.3666,0.821,0.3677,0.8215,0.3713,8/8
v30,Ocsvm_nu0.01_gscale,0.8668,0.6643,0.5522,0.0013,0.7097,0.049,0.7765,0.222,8/8
v30,Ocsvm_nu0.02_g0.5,0.8986,0.6832,0.7228,0.1128,0.8212,0.3676,0.8214,0.3703,8/8
v30,Ocsvm_nu0.02_gscale,0.8806,0.6817,0.5225,0.0009,0.7051,0.0229,0.7873,0.1658,8/8
v30,OneClassSvm_MultiVar_Boundary,0.8668,0.6643,0.5522,0.0013,0.7097,0.049,0.7765,0.222,8/8
v30,PcaReconstruction_MultiVar_Correlated,0.6254,0.1743,0.0686,0.0004,0.1397,0.0086,0.2332,0.0452,6/8
v30,StatZCN0,0.7504,0.0107,0.0002,0.0008,0.0031,0.0119,0.0217,0.0655,0/8
v30,StatZ,0.8354,0.0063,0.0004,0.0008,0.0062,0.0099,0.0359,0.0545,0/8
v30,StatisticalThreshold_SingleVar_Gaussian,0.9323,0.6773,0.2244,0.0,0.6225,0.0053,0.7506,0.0358,8/8
v30,StlResidual_SingleVar_Seasonal,0.5722,0.0417,0.0001,0.0,0.0123,0.0024,0.0628,0.0252,5/8
