scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.9991,0.9996,0.9982,0.9982,0.9953,0.0,0.9967,0.0,0.9982,0.0091,0.9984,0.9938,0.9984,0.9967,0.0,0.04,1.0,14.8208
ds2,static,22523.0,110.0,0.9998,0.9999,0.9996,0.9996,0.9942,0.0,0.9969,0.0,0.9996,0.0019,0.9984,0.9933,0.9984,0.9969,0.0,0.04,1.0,14.8208
ds3,static,22559.0,120.0,0.8272,0.921,0.648,0.6665,0.5977,0.0,0.6262,0.0,0.6507,0.0185,0.7702,0.5443,0.8131,0.6262,0.0,0.04,1.0,14.8208
ds4,dynamic,22576.0,114.0,0.9306,0.9696,0.8433,0.8622,0.7431,0.0,0.7541,0.0,0.8324,0.002,0.8598,0.6494,0.877,0.7541,0.0,78.06,1.0,14.8208
ds5,dynamic,20573.0,102.0,0.9994,0.9998,0.9975,0.9978,0.9934,0.0,0.9962,0.0,0.9992,0.2812,0.9981,0.9919,0.9981,0.9962,0.0,0.06,1.0,14.8208
ds6,static,20582.0,105.0,0.9998,1.0,0.9971,0.9981,0.9859,0.0,0.9925,0.0,1.0,0.2609,0.9962,0.9845,0.9962,0.9925,0.0,0.06,1.0,14.8208
ds7,static,23171.0,110.0,0.7471,0.8992,0.407,0.4767,0.0,0.0,0.1031,0.0,0.4079,0.0102,0.187,0.1582,0.5516,0.1031,0.0,257.54,1.0,14.8208
ds8,static,23169.0,110.0,0.9916,0.9968,0.9814,0.9832,0.9407,0.0,0.9648,0.0,0.9817,0.0189,0.9821,0.9272,0.9824,0.9648,0.0,6.14,1.0,14.8208
ALL,-,177908.0,,0.9277,0.9714,0.8148,0.8456,0.7732,0.0,0.7966,0.0,0.854,0.0701,0.8868,0.6938,0.8983,0.7966,0.0,,8.0,
MACRO,-,,,0.9368,,0.859,0.8728,0.7813,,0.8038,,0.8587,,,,,,,,,
