scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.9992,0.9998,0.9982,0.9984,0.9981,0.0,0.9982,0.0,0.9986,0.106,0.9991,0.9966,0.9991,0.9982,0.0,0.04,1.0,0.8492
ds2,static,22523.0,110.0,0.9999,1.0,0.9996,0.9996,0.9909,0.0,0.9995,0.0,0.9996,0.1196,0.9998,0.999,0.9998,0.9995,0.0,0.04,1.0,0.8492
ds3,static,22559.0,120.0,0.9834,0.9947,0.8872,0.9609,0.1334,0.0,0.5529,0.0021,0.9758,0.114,0.7117,0.4849,0.7754,0.5529,0.0021,0.04,1.0,0.8492
ds4,dynamic,22576.0,114.0,1.0,1.0,0.9991,0.9999,0.456,0.0,0.9884,0.0,1.0,0.1227,0.9942,0.9762,0.9942,0.9884,0.0,0.04,1.0,0.8492
ds5,dynamic,20573.0,102.0,0.9996,0.9999,0.9991,0.9992,0.9925,0.0,0.9992,0.0286,0.9994,0.315,0.9953,0.9796,0.9853,0.9992,0.0286,0.06,1.0,0.8492
ds6,static,20582.0,105.0,0.9876,0.9943,0.416,0.9916,0.1338,0.0,0.979,0.037,1.0,0.3468,0.9836,0.9326,0.971,0.979,0.037,0.06,1.0,0.8492
ds7,static,23171.0,110.0,0.9452,0.9856,0.7991,0.8568,0.0026,0.0,0.4547,0.0,0.7903,0.0075,0.6252,0.3962,0.7274,0.4547,0.0,60.96,1.0,0.8492
ds8,static,23169.0,110.0,0.9732,0.9929,0.8507,0.9076,0.0763,0.0,0.6911,0.0,0.864,0.0141,0.8173,0.5771,0.8455,0.6911,0.0,0.54,1.0,0.8492
ALL,-,177908.0,,0.9686,0.9914,0.8519,0.9269,0.4663,0.0,0.8268,0.0078,0.9508,0.1392,0.904,0.7225,0.9095,0.8268,0.0078,,8.0,
MACRO,-,,,0.986,,0.8686,0.9642,0.473,,0.8329,,0.9535,,,,,,,,,
