scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.999,0.9997,0.9982,0.9982,0.9982,0.0002,0.9982,0.0106,0.9982,0.0642,0.9972,0.9894,0.9938,0.9982,0.0106,0.04,1.0,0.1906
ds2,static,22523.0,110.0,0.9951,0.9983,0.9061,0.9867,0.2358,0.0002,0.908,0.0103,0.9927,0.0732,0.9503,0.8253,0.9489,0.908,0.0103,0.06,1.0,0.1906
ds3,static,22559.0,120.0,0.671,0.8707,0.1635,0.2693,0.0976,0.0002,0.1595,0.0085,0.2982,0.069,0.2744,0.2005,0.5755,0.1595,0.0085,4.3,1.0,0.1906
ds4,dynamic,22576.0,114.0,0.9458,0.9836,0.6721,0.8094,0.4769,0.0004,0.682,0.0114,0.835,0.0708,0.8092,0.5716,0.8353,0.682,0.0114,0.04,1.0,0.1906
ds5,dynamic,20573.0,102.0,0.9959,0.9987,0.9315,0.9856,0.825,0.0025,0.9863,0.0546,0.9973,0.1619,0.9849,0.9346,0.9658,0.9863,0.0546,0.06,1.0,0.1906
ds6,static,20582.0,105.0,0.6896,0.8728,0.1114,0.2026,0.0778,0.0037,0.1985,0.0477,0.3796,0.1648,0.3271,0.1743,0.5754,0.1985,0.0477,3.86,1.0,0.1906
ds7,static,23171.0,110.0,0.7536,0.9198,0.237,0.3798,0.08,0.0002,0.2452,0.0106,0.4183,0.0692,0.3929,0.2476,0.6173,0.2452,0.0106,68.54,1.0,0.1906
ds8,static,23169.0,110.0,0.8621,0.9582,0.3987,0.5742,0.1485,0.0,0.3776,0.007,0.5803,0.053,0.5474,0.3385,0.6853,0.3776,0.007,2.44,1.0,0.1906
ALL,-,177908.0,,0.8619,0.9577,0.5207,0.6381,0.3618,0.0009,0.5665,0.0192,0.686,0.0888,0.7205,0.4692,0.7736,0.5665,0.0192,,8.0,
MACRO,-,,,0.864,,0.5523,0.6507,0.3675,,0.5694,,0.6874,,,,,,,,,
