scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.9991,0.9997,0.9982,0.9983,0.9982,0.0,0.9983,0.0169,0.9985,0.1792,0.9962,0.9853,0.9907,0.9983,0.0169,0.04,1.0,1.2786
ds2,static,22523.0,110.0,0.9998,1.0,0.9996,0.9997,0.9995,0.0,0.9996,0.0192,0.9997,0.1852,0.997,0.9867,0.9902,0.9996,0.0192,0.04,1.0,1.2786
ds3,static,22559.0,120.0,0.7874,0.9208,0.3201,0.4131,0.2442,0.0014,0.3557,0.0219,0.5799,0.1833,0.5219,0.3254,0.6669,0.3557,0.0219,0.04,1.0,1.2786
ds4,dynamic,22576.0,114.0,0.9799,0.994,0.8528,0.9103,0.6448,0.0,0.876,0.0196,0.9623,0.1909,0.9309,0.7768,0.9282,0.876,0.0196,0.08,1.0,1.2786
ds5,dynamic,20573.0,102.0,0.9996,0.9999,0.9991,0.9992,0.999,0.0015,0.9992,0.1144,0.9995,0.4063,0.9827,0.9235,0.9424,0.9992,0.1144,0.06,1.0,1.2786
ds6,static,20582.0,105.0,0.9107,0.9693,0.3895,0.6521,0.318,0.0073,0.7903,0.1276,0.9436,0.4173,0.8635,0.5861,0.8314,0.7903,0.1276,0.06,1.0,1.2786
ds7,static,23171.0,110.0,0.8779,0.963,0.4427,0.5977,0.0643,0.0,0.3793,0.0048,0.6327,0.068,0.5494,0.3417,0.6872,0.3793,0.0048,58.86,1.0,1.2786
ds8,static,23169.0,110.0,0.9722,0.9921,0.7787,0.8754,0.1511,0.0,0.6299,0.0004,0.8009,0.0139,0.7729,0.5244,0.8147,0.6299,0.0004,0.48,1.0,1.2786
ALL,-,177908.0,,0.9238,0.9772,0.6655,0.765,0.5453,0.0012,0.7482,0.0386,0.8611,0.2015,0.8501,0.6113,0.8548,0.7482,0.0386,,8.0,
MACRO,-,,,0.9408,,0.7226,0.8057,0.5524,,0.7535,,0.8646,,,,,,,,,
