scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.9823,0.9817,0.1526,0.9981,0.9983,0.0755,0.9985,0.2004,0.9989,0.3636,0.9652,0.861,0.899,0.9985,0.2004,0.04,1.0,-0.0245
ds2,static,22523.0,110.0,0.9998,1.0,0.9996,0.9997,0.9997,0.0827,0.9998,0.2116,0.9998,0.3748,0.9694,0.8606,0.8941,0.9998,0.2116,0.04,1.0,-0.0245
ds3,static,22559.0,120.0,0.6394,0.8583,0.2442,0.2657,0.2824,0.0794,0.3892,0.2067,0.5443,0.3687,0.5336,0.1667,0.5912,0.3892,0.2067,0.04,1.0,-0.0245
ds4,dynamic,22576.0,114.0,0.9164,0.9731,0.5565,0.6743,0.721,0.0795,0.8466,0.2051,0.9336,0.3764,0.8862,0.5927,0.8208,0.8466,0.2051,0.06,1.0,-0.0245
ds5,dynamic,20573.0,102.0,0.9996,0.9999,0.9991,0.9991,0.9992,0.0748,0.9994,0.2299,0.9996,0.4315,0.9662,0.8472,0.8847,0.9994,0.2299,0.06,1.0,-0.0245
ds6,static,20582.0,105.0,0.9011,0.9653,0.3407,0.604,0.6837,0.0792,0.8651,0.2296,0.943,0.4323,0.8931,0.5993,0.8177,0.8651,0.2296,0.06,1.0,-0.0245
ds7,static,23171.0,110.0,0.8389,0.9498,0.3569,0.5107,0.1495,0.0002,0.3036,0.0064,0.4793,0.0369,0.4651,0.2909,0.6486,0.3036,0.0064,67.52,1.0,-0.0245
ds8,static,23169.0,110.0,0.8866,0.9635,0.3607,0.556,0.1199,0.0002,0.2997,0.0037,0.4819,0.0286,0.4608,0.2913,0.648,0.2997,0.0037,2.44,1.0,-0.0245
ALL,-,177908.0,,0.8491,0.9523,0.438,0.598,0.6091,0.0593,0.7035,0.162,0.7904,0.3018,0.8023,0.4658,0.7708,0.7035,0.162,,8.0,
MACRO,-,,,0.8955,,0.5013,0.701,0.6192,,0.7127,,0.7976,,,,,,,,,
