scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.9991,0.9997,0.9982,0.9982,0.9982,0.0,0.9982,0.0,0.9982,0.0059,0.9991,0.9966,0.9991,0.9982,0.0,0.04,1.0,27.5345
ds2,static,22523.0,110.0,0.9998,1.0,0.9996,0.9996,0.8666,0.0,0.9996,0.0,0.9996,0.0072,0.9998,0.9991,0.9998,0.9996,0.0,0.04,1.0,27.5345
ds3,static,22559.0,120.0,0.818,0.9345,0.3619,0.458,0.0091,0.0,0.2665,0.0023,0.3574,0.0086,0.4206,0.2864,0.6321,0.2665,0.0023,0.12,1.0,27.5345
ds4,dynamic,22576.0,114.0,0.9873,0.9962,0.8951,0.9353,0.0905,0.0,0.7557,0.0,0.8939,0.0097,0.8609,0.6511,0.8779,0.7557,0.0,0.12,1.0,27.5345
ds5,dynamic,20573.0,102.0,0.9996,0.9999,0.999,0.9992,0.9759,0.0,0.999,0.0147,0.9992,0.0808,0.9973,0.9882,0.9921,0.999,0.0147,0.06,1.0,27.5345
ds6,static,20582.0,105.0,0.9122,0.9664,0.281,0.61,0.0004,0.0002,0.3805,0.0193,0.7386,0.0914,0.5489,0.3382,0.6806,0.3805,0.0193,0.06,1.0,27.5345
ds7,static,23171.0,110.0,0.8414,0.9516,0.3941,0.5397,0.0009,0.0,0.2126,0.0008,0.4443,0.0178,0.3506,0.2375,0.6059,0.2126,0.0008,132.46,1.0,27.5345
ds8,static,23169.0,110.0,0.916,0.977,0.6686,0.768,0.0017,0.0,0.5079,0.0008,0.7163,0.0197,0.6735,0.432,0.7535,0.5079,0.0008,2.52,1.0,27.5345
ALL,-,177908.0,,0.9264,0.9786,0.6963,0.7944,0.3612,0.0,0.6363,0.0044,0.7648,0.0285,0.7771,0.5376,0.8159,0.6363,0.0044,,8.0,
MACRO,-,,,0.9342,,0.6997,0.7885,0.3679,,0.64,,0.7684,,,,,,,,,
