scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.9991,0.9997,0.9983,0.9983,0.9983,0.0998,0.9989,0.3977,0.9989,0.399,0.9341,0.724,0.8006,0.9989,0.3977,0.04,1.0,-1.3986
ds2,static,22523.0,110.0,0.9998,1.0,0.9996,0.9997,0.9997,0.1045,0.9998,0.4017,0.9998,0.4024,0.9435,0.7304,0.7991,0.9998,0.4017,0.04,1.0,-1.3986
ds3,static,22559.0,120.0,0.6759,0.8816,0.2925,0.347,0.3937,0.1009,0.6374,0.408,0.638,0.4089,0.7185,0.2016,0.6147,0.6374,0.408,0.04,1.0,-1.3986
ds4,dynamic,22576.0,114.0,0.9462,0.9845,0.7837,0.8367,0.8654,0.1028,0.9533,0.4112,0.9534,0.4118,0.9159,0.6065,0.771,0.9533,0.4112,0.04,1.0,-1.3986
ds5,dynamic,20573.0,102.0,0.9996,0.9999,0.9991,0.9991,0.9994,0.2417,0.9999,0.6522,0.9999,0.6533,0.9105,0.5386,0.6738,0.9999,0.6522,0.06,1.0,-1.3986
ds6,static,20582.0,105.0,0.8616,0.9557,0.4042,0.6179,0.8112,0.2507,0.9317,0.6443,0.932,0.6457,0.8731,0.3566,0.6437,0.9317,0.6443,0.06,1.0,-1.3986
ds7,static,23171.0,110.0,0.8183,0.9441,0.3798,0.5024,0.2818,0.0021,0.4402,0.0209,0.441,0.0209,0.6088,0.3669,0.7097,0.4402,0.0209,47.82,1.0,-1.3986
ds8,static,23169.0,110.0,0.8882,0.9684,0.6082,0.6604,0.4325,0.0,0.608,0.0044,0.6084,0.0207,0.7557,0.5034,0.8018,0.608,0.0044,0.48,1.0,-1.3986
ALL,-,177908.0,,0.854,0.9569,0.6231,0.6797,0.7149,0.1103,0.8147,0.3643,0.815,0.3671,0.8452,0.4212,0.7252,0.8147,0.3643,,8.0,
MACRO,-,,,0.8986,,0.6832,0.7452,0.7228,,0.8212,,0.8214,,,,,,,,,
