scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.999,0.9997,0.9982,0.9983,0.9982,0.0,0.9982,0.0106,0.9985,0.1822,0.9972,0.9894,0.9938,0.9982,0.0106,0.04,1.0,-17.5618
ds2,static,22523.0,110.0,0.9998,1.0,0.9996,0.9996,0.9994,0.0,0.9996,0.0137,0.9997,0.1899,0.9978,0.9902,0.9929,0.9996,0.0137,0.04,1.0,-17.5618
ds3,static,22559.0,120.0,0.6075,0.8643,0.3153,0.3747,0.2258,0.0004,0.3288,0.0153,0.4651,0.1838,0.493,0.314,0.6567,0.3288,0.0153,0.04,1.0,-17.5618
ds4,dynamic,22576.0,114.0,0.949,0.9858,0.8192,0.8647,0.5627,0.0,0.8302,0.0138,0.9215,0.2019,0.9051,0.7224,0.9082,0.8302,0.0138,0.12,1.0,-17.5618
ds5,dynamic,20573.0,102.0,0.9996,0.9999,0.9991,0.9992,0.999,0.0006,0.9992,0.0605,0.9994,0.2446,0.9906,0.9589,0.9694,0.9992,0.0605,0.06,1.0,-17.5618
ds6,static,20582.0,105.0,0.9288,0.9764,0.4476,0.7559,0.2807,0.0065,0.7934,0.0664,0.9211,0.2578,0.8746,0.6387,0.8635,0.7934,0.0664,0.06,1.0,-17.5618
ds7,static,23171.0,110.0,0.7447,0.9225,0.3645,0.4539,0.0399,0.0,0.268,0.0014,0.4084,0.0253,0.4226,0.2734,0.6333,0.268,0.0014,67.52,1.0,-17.5618
ds8,static,23169.0,110.0,0.8162,0.9484,0.5101,0.5958,0.0743,0.0,0.4238,0.0015,0.5844,0.0412,0.5951,0.3741,0.7111,0.4238,0.0015,2.06,1.0,-17.5618
ALL,-,177908.0,,0.851,0.9582,0.666,0.7287,0.5149,0.0009,0.6973,0.0219,0.7806,0.1652,0.8184,0.576,0.8377,0.6973,0.0219,,8.0,
MACRO,-,,,0.8806,,0.6817,0.7553,0.5225,,0.7051,,0.7873,,,,,,,,,
