scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.8689,0.8591,0.0016,0.0072,0.0003,0.0012,0.0018,0.0132,0.0139,0.08,0.0035,-0.0727,0.4943,0.0018,0.0132,inf,0.0,78.6092
ds2,static,22523.0,110.0,0.8733,0.89,0.0062,0.029,0.0007,0.0014,0.0085,0.0141,0.0536,0.0798,0.0168,-0.0239,0.4972,0.0085,0.0141,inf,0.0,78.6092
ds3,static,22559.0,120.0,0.5145,0.752,0.0021,0.0086,0.0002,0.0002,0.0025,0.0115,0.013,0.0766,0.0049,-0.0567,0.4955,0.0025,0.0115,inf,0.0,78.6092
ds4,dynamic,22576.0,114.0,0.7686,0.8316,0.0002,0.0011,0.0,0.0015,0.0003,0.0203,0.004,0.0967,0.0007,-0.1193,0.49,0.0003,0.0203,inf,0.0,78.6092
ds5,dynamic,20573.0,102.0,0.8822,0.914,0.0255,0.0944,0.0001,0.0,0.0042,0.0025,0.0349,0.0115,0.0083,0.0114,0.5008,0.0042,0.0025,inf,0.0,78.6092
ds6,static,20582.0,105.0,0.8418,0.9055,0.0495,0.152,0.0005,0.0002,0.0066,0.0012,0.0453,0.0091,0.0132,0.0317,0.5027,0.0066,0.0012,inf,0.0,78.6092
ds7,static,23171.0,110.0,0.5854,0.789,0.0003,0.0024,0.0,0.0004,0.0004,0.0155,0.0041,0.0756,0.0008,-0.1026,0.4925,0.0004,0.0155,inf,0.0,78.6092
ds8,static,23169.0,110.0,0.6687,0.8179,0.0004,0.0023,0.0001,0.0017,0.0008,0.0166,0.0047,0.0945,0.0017,-0.0998,0.4921,0.0008,0.0166,inf,0.0,78.6092
ALL,-,177908.0,,0.7486,0.8427,0.0025,0.0143,0.0002,0.0008,0.0031,0.0121,0.0211,0.0669,0.0061,-0.0531,0.4955,0.0031,0.0121,,0.0,
MACRO,-,,,0.7504,,0.0107,0.0371,0.0002,,0.0031,,0.0217,,,,,,,,,
