scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.8738,0.875,0.0062,0.0292,0.0005,0.001,0.0052,0.0084,0.0318,0.0534,0.0104,-0.0182,0.4984,0.0052,0.0084,inf,0.0,72.9225
ds2,static,22523.0,110.0,0.8748,0.8944,0.0077,0.0385,0.0006,0.001,0.0075,0.0097,0.0417,0.0552,0.0148,-0.0103,0.4989,0.0075,0.0097,inf,0.0,72.9225
ds3,static,22559.0,120.0,0.8039,0.8592,0.0065,0.0297,0.0002,0.0002,0.0057,0.0083,0.0324,0.055,0.0113,-0.0142,0.4987,0.0057,0.0083,inf,0.0,72.9225
ds4,dynamic,22576.0,114.0,0.8409,0.8563,0.0016,0.0112,0.0001,0.0011,0.0027,0.0134,0.017,0.0684,0.0054,-0.0628,0.4947,0.0027,0.0134,inf,0.0,72.9225
ds5,dynamic,20573.0,102.0,0.8795,0.9012,0.0075,0.0601,0.0001,0.0008,0.0064,0.0084,0.0446,0.0391,0.0127,-0.0103,0.499,0.0064,0.0084,inf,0.0,72.9225
ds6,static,20582.0,105.0,0.83,0.8724,0.007,0.0466,0.0005,0.0008,0.0065,0.0087,0.0393,0.0421,0.0129,-0.0113,0.4989,0.0065,0.0087,inf,0.0,72.9225
ds7,static,23171.0,110.0,0.7681,0.8637,0.0076,0.0348,0.0006,0.0004,0.0078,0.0104,0.0394,0.057,0.0154,-0.0122,0.4987,0.0078,0.0104,inf,0.0,72.9225
ds8,static,23169.0,110.0,0.812,0.8731,0.0061,0.0299,0.0005,0.0008,0.0074,0.0118,0.0407,0.0659,0.0146,-0.0201,0.4978,0.0074,0.0118,inf,0.0,72.9225
ALL,-,177908.0,,0.8285,0.8727,0.0062,0.0326,0.0004,0.0008,0.0062,0.0099,0.0358,0.0548,0.0122,-0.0189,0.4981,0.0062,0.0099,,0.0,
MACRO,-,,,0.8354,,0.0063,0.035,0.0004,,0.0062,,0.0359,,,,,,,,,
