scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22755.0,125.0,0.9992,0.9998,0.9982,0.9982,0.9982,0.0,0.9982,0.0005,0.9982,0.0123,0.999,0.9962,0.9989,0.9982,0.0005,0.04,1.0,1.6118
ds2,static,22523.0,110.0,0.9998,1.0,0.9995,0.9995,0.1836,0.0,0.9987,0.0004,0.9995,0.0157,0.9993,0.997,0.9992,0.9987,0.0004,0.04,1.0,1.6118
ds3,static,22559.0,120.0,0.8396,0.9437,0.3638,0.5121,0.0099,0.0,0.2475,0.0009,0.3987,0.0159,0.3968,0.2752,0.6233,0.2475,0.0009,0.16,1.0,1.6118
ds4,dynamic,22576.0,114.0,0.9864,0.9959,0.8712,0.9291,0.0469,0.0,0.7473,0.0004,0.8871,0.0162,0.8553,0.6423,0.8735,0.7473,0.0004,5.3,1.0,1.6118
ds5,dynamic,20573.0,102.0,0.9993,0.9998,0.9974,0.9992,0.5434,0.0002,0.9986,0.0176,0.9992,0.0859,0.9967,0.9855,0.9905,0.9986,0.0176,0.06,1.0,1.6118
ds6,static,20582.0,105.0,0.8954,0.9612,0.2876,0.5574,0.0027,0.0,0.3858,0.0201,0.6879,0.1004,0.5542,0.3409,0.6828,0.3858,0.0201,0.06,1.0,1.6118
ds7,static,23171.0,110.0,0.8377,0.95,0.3525,0.5135,0.0012,0.0,0.192,0.0008,0.4042,0.0182,0.3221,0.2235,0.5956,0.192,0.0008,142.06,1.0,1.6118
ds8,static,23169.0,110.0,0.901,0.972,0.5486,0.7091,0.0089,0.0,0.4122,0.0015,0.63,0.0217,0.5836,0.3664,0.7053,0.4122,0.0015,2.84,1.0,1.6118
ALL,-,177908.0,,0.924,0.9777,0.6681,0.7726,0.2194,0.0,0.6179,0.0049,0.7465,0.0342,0.7631,0.5221,0.8065,0.6179,0.0049,,8.0,
MACRO,-,,,0.9323,,0.6773,0.7773,0.2244,,0.6225,,0.7506,,,,,,,,,
