scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.999,0.9997,0.9982,0.9983,0.0784,0.0,0.8852,0.0,0.9982,0.0004,0.9391,0.8068,0.9426,0.8852,0.0,0.04,1.0,0.3675
ds2,static,22528.0,110.0,0.9012,0.9573,0.1609,0.3866,0.0,0.0,0.0058,0.0,0.044,0.0008,0.0115,0.0364,0.5029,0.0058,0.0,inf,0.0,0.3675
ds3,static,22563.0,120.0,0.6228,0.8413,0.124,0.1813,0.0132,0.0,0.0413,0.0,0.0787,0.0007,0.0793,0.1035,0.5206,0.0413,0.0,58.1,1.0,0.3675
ds4,dynamic,22579.0,114.0,0.8585,0.9548,0.5046,0.5964,0.0243,0.0,0.1893,0.0,0.3812,0.0019,0.3184,0.2294,0.5947,0.1893,0.0,142.16,1.0,0.3675
ds5,dynamic,20569.0,102.0,0.8918,0.939,0.0361,0.2607,0.0001,0.0,0.0029,0.0017,0.0557,0.0153,0.0058,0.0101,0.5006,0.0029,0.0017,inf,0.0,0.3675
ds6,static,20577.0,105.0,0.5554,0.8045,0.0678,0.1075,0.0065,0.0,0.0364,0.0014,0.0754,0.014,0.0702,0.0903,0.5175,0.0364,0.0014,65.8,1.0,0.3675
ds7,static,23169.0,110.0,0.8728,0.9658,0.7021,0.7309,0.2547,0.0,0.5588,0.0,0.6653,0.001,0.7169,0.4695,0.7794,0.5588,0.0,107.02,1.0,0.3675
ds8,static,22611.0,110.0,0.9137,0.9785,0.7123,0.7564,0.2507,0.0,0.5553,0.0,0.6688,0.0013,0.714,0.4506,0.7776,0.5553,0.0,97.58,1.0,0.3675
ALL,-,176799.0,,0.8364,0.9486,0.4123,0.5351,0.0822,0.0,0.2919,0.0004,0.3796,0.0042,0.4518,0.2951,0.6457,0.2919,0.0004,,6.0,
MACRO,-,,,0.8269,,0.4132,0.5023,0.0785,,0.2844,,0.3709,,,,,,,,,
