scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9937,0.9977,0.7826,0.9983,0.0034,0.0,0.2788,0.0,0.8076,0.0112,0.436,0.2924,0.6394,0.2788,0.0,0.66,1.0,0.5916
ds2,static,22528.0,110.0,0.8981,0.962,0.2625,0.4821,0.0142,0.0,0.1061,0.0,0.2777,0.0112,0.1919,0.1629,0.5531,0.1061,0.0,47.36,1.0,0.5916
ds3,static,22563.0,120.0,0.767,0.9119,0.2178,0.3765,0.0406,0.0,0.1124,0.0004,0.2411,0.0137,0.2021,0.1751,0.556,0.1124,0.0004,49.26,1.0,0.5916
ds4,dynamic,22579.0,114.0,0.9784,0.9936,0.8452,0.9133,0.1095,0.0,0.567,0.0002,0.8429,0.0095,0.7237,0.4872,0.7834,0.567,0.0002,1.98,1.0,0.5916
ds5,dynamic,20569.0,102.0,0.777,0.8952,0.0498,0.1631,0.0038,0.0004,0.0767,0.0172,0.2651,0.0853,0.1417,0.1032,0.5297,0.0767,0.0172,72.6,1.0,0.5916
ds6,static,20577.0,105.0,0.7602,0.9003,0.1199,0.2428,0.0285,0.0004,0.1443,0.0191,0.3251,0.085,0.2508,0.1677,0.5626,0.1443,0.0191,59.7,1.0,0.5916
ds7,static,23169.0,110.0,0.9092,0.9754,0.6952,0.7676,0.2589,0.0,0.6246,0.0023,0.7344,0.0253,0.7686,0.5185,0.8111,0.6246,0.0023,101.08,1.0,0.5916
ds8,static,22611.0,110.0,0.978,0.9944,0.7797,0.8903,0.3679,0.0,0.6794,0.0022,0.8326,0.0238,0.8088,0.5477,0.8386,0.6794,0.0022,40.62,1.0,0.5916
ALL,-,176799.0,,0.8961,0.9661,0.4098,0.6111,0.108,0.0001,0.3324,0.0049,0.5486,0.032,0.4984,0.3167,0.6638,0.3324,0.0049,,8.0,
MACRO,-,,,0.8827,,0.4691,0.6042,0.1034,,0.3237,,0.5408,,,,,,,,,
