scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.8024,0.8914,0.1881,0.1882,0.1881,0.0007,0.1881,0.0115,0.1882,0.0618,0.3157,0.2145,0.5883,0.1881,0.0115,0.62,1.0,1986.5336
ds2,static,22528.0,110.0,0.7887,0.8831,0.1337,0.1424,0.1216,0.0004,0.1341,0.0106,0.1444,0.0619,0.2359,0.1689,0.5617,0.1341,0.0106,6.18,1.0,1986.5336
ds3,static,22563.0,120.0,0.6772,0.8086,0.0253,0.0517,0.0091,0.0004,0.026,0.0104,0.0585,0.061,0.0505,0.046,0.5078,0.026,0.0104,10.86,1.0,1986.5336
ds4,dynamic,22579.0,114.0,0.7576,0.8221,0.0137,0.0294,0.0048,0.0002,0.0152,0.0121,0.0334,0.067,0.0298,0.011,0.5015,0.0152,0.0121,100.4,1.0,1986.5336
ds5,dynamic,20569.0,102.0,0.7856,0.881,0.1418,0.1455,0.1344,0.0002,0.141,0.0076,0.1455,0.0523,0.2467,0.1798,0.5667,0.141,0.0076,3.18,1.0,1986.5336
ds6,static,20577.0,105.0,0.732,0.8398,0.0408,0.0688,0.0188,0.0,0.0387,0.0075,0.0707,0.0525,0.0743,0.0764,0.5156,0.0387,0.0075,6.28,1.0,1986.5336
ds7,static,23169.0,110.0,0.7429,0.8558,0.0427,0.0651,0.0301,0.001,0.0445,0.0114,0.072,0.0661,0.085,0.0729,0.5165,0.0445,0.0114,115.78,1.0,1986.5336
ds8,static,22611.0,110.0,0.7836,0.8841,0.0596,0.082,0.0402,0.0011,0.061,0.0111,0.0892,0.0663,0.1146,0.0916,0.525,0.061,0.0111,2.04,1.0,1986.5336
ALL,-,176799.0,,0.7569,0.8628,0.0802,0.0962,0.0678,0.0005,0.0805,0.0103,0.0998,0.0612,0.1486,0.1209,0.5351,0.0805,0.0103,,8.0,
MACRO,-,,,0.7588,,0.0807,0.0966,0.0684,,0.0811,,0.1002,,,,,,,,,
