scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9991,0.9998,0.9982,0.9983,0.999,0.3706,0.999,0.3709,0.999,0.3726,0.9436,0.7472,0.814,0.999,0.3709,0.04,1.0,-0.4479
ds2,static,22528.0,110.0,0.9999,1.0,0.9997,0.9997,0.9998,0.3767,0.9998,0.3775,0.9998,0.3785,0.9467,0.7476,0.8112,0.9998,0.3775,0.04,1.0,-0.4479
ds3,static,22563.0,120.0,0.713,0.8972,0.3291,0.3889,0.6558,0.3712,0.6562,0.3718,0.6569,0.3739,0.7369,0.2504,0.6422,0.6562,0.3718,0.04,1.0,-0.4479
ds4,dynamic,22579.0,114.0,0.9457,0.9844,0.785,0.8363,0.9476,0.3755,0.9477,0.376,0.9479,0.3773,0.9178,0.6226,0.7858,0.9477,0.376,0.1,1.0,-0.4479
ds5,dynamic,20569.0,102.0,0.9997,0.9999,0.999,0.9992,0.9998,0.6177,0.9998,0.619,0.9998,0.6211,0.9147,0.5661,0.6904,0.9998,0.619,0.06,1.0,-0.4479
ds6,static,20577.0,105.0,0.8928,0.965,0.4204,0.6458,0.955,0.6179,0.955,0.6185,0.9553,0.6205,0.8887,0.4334,0.6683,0.955,0.6185,0.06,1.0,-0.4479
ds7,static,23169.0,110.0,0.9249,0.9793,0.7362,0.7665,0.761,0.0327,0.7612,0.0342,0.7614,0.0387,0.8596,0.6176,0.8635,0.7612,0.0342,53.58,1.0,-0.4479
ds8,static,22611.0,110.0,0.9776,0.9947,0.8663,0.9238,0.9219,0.0468,0.922,0.047,0.9222,0.047,0.9534,0.8074,0.9375,0.922,0.047,0.24,1.0,-0.4479
ALL,-,176799.0,,0.921,0.9782,0.7655,0.8093,0.9031,0.3514,0.9032,0.3521,0.9034,0.354,0.8989,0.5575,0.7756,0.9032,0.3521,,8.0,
MACRO,-,,,0.9316,,0.7667,0.8198,0.905,,0.9051,,0.9053,,,,,,,,,
