scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9991,0.9998,0.9982,0.9983,0.9982,0.0,0.9982,0.013,0.9985,0.1739,0.997,0.9877,0.9926,0.9982,0.013,0.04,1.0,-17.9463
ds2,static,22528.0,110.0,0.9999,1.0,0.9997,0.9997,0.999,0.0,0.9997,0.012,0.9997,0.174,0.998,0.9915,0.9938,0.9997,0.012,0.04,1.0,-17.9463
ds3,static,22563.0,120.0,0.6423,0.8752,0.3411,0.3892,0.2038,0.0,0.3519,0.0173,0.4654,0.1736,0.5184,0.3279,0.6673,0.3519,0.0173,0.04,1.0,-17.9463
ds4,dynamic,22579.0,114.0,0.9321,0.9811,0.7983,0.8408,0.4676,0.0,0.8046,0.0125,0.8856,0.1729,0.8898,0.6935,0.896,0.8046,0.0125,0.18,1.0,-17.9463
ds5,dynamic,20569.0,102.0,0.9997,0.9999,0.999,0.9993,0.9989,0.0004,0.9993,0.0591,0.9994,0.2186,0.9908,0.96,0.9701,0.9993,0.0591,0.06,1.0,-17.9463
ds6,static,20577.0,105.0,0.9486,0.9822,0.4402,0.7884,0.3038,0.0059,0.8235,0.0663,0.9421,0.2306,0.893,0.6738,0.8786,0.8235,0.0663,0.06,1.0,-17.9463
ds7,static,23169.0,110.0,0.8451,0.9596,0.7207,0.7407,0.5961,0.0,0.7056,0.0027,0.7343,0.0344,0.827,0.5881,0.8514,0.7056,0.0027,83.06,1.0,-17.9463
ds8,static,22611.0,110.0,0.9645,0.9915,0.8343,0.884,0.6325,0.0,0.7975,0.003,0.879,0.042,0.8869,0.6652,0.8972,0.7975,0.003,0.4,1.0,-17.9463
ALL,-,176799.0,,0.913,0.9768,0.7859,0.8291,0.6504,0.0008,0.808,0.0227,0.8608,0.1533,0.8904,0.6851,0.8926,0.808,0.0227,,8.0,
MACRO,-,,,0.9164,,0.7664,0.83,0.65,,0.81,,0.863,,,,,,,,,
