scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.5869,0.8235,0.0516,0.1331,0.0012,0.0,0.0176,0.0022,0.0817,0.0222,0.0345,0.0562,0.5077,0.0176,0.0022,inf,0.0,1.3132
ds2,static,22528.0,110.0,0.4315,0.7321,0.0123,0.0321,0.001,0.0,0.0055,0.0015,0.0183,0.0193,0.011,0.0247,0.502,0.0055,0.0015,inf,0.0,1.3132
ds3,static,22563.0,120.0,0.5581,0.809,0.0867,0.1456,0.0238,0.0,0.0532,0.0019,0.1075,0.0226,0.101,0.1131,0.5256,0.0532,0.0019,58.44,1.0,1.3132
ds4,dynamic,22579.0,114.0,0.7299,0.908,0.2741,0.395,0.0546,0.0,0.1818,0.0022,0.3247,0.022,0.3075,0.221,0.5898,0.1818,0.0022,142.7,1.0,1.3132
ds5,dynamic,20569.0,102.0,0.3206,0.6568,0.0003,0.0046,0.0001,0.0034,0.0013,0.024,0.0095,0.0925,0.0025,-0.119,0.4887,0.0013,0.024,inf,0.0,1.3132
ds6,static,20577.0,105.0,0.4645,0.754,0.0269,0.0626,0.0133,0.0031,0.0406,0.0199,0.0902,0.087,0.0776,0.0476,0.5103,0.0406,0.0199,65.88,1.0,1.3132
ds7,static,23169.0,110.0,0.8593,0.9619,0.651,0.707,0.39,0.0,0.5772,0.0023,0.6747,0.0189,0.7316,0.4813,0.7874,0.5772,0.0023,102.94,1.0,1.3132
ds8,static,22611.0,110.0,0.8571,0.9648,0.6356,0.6987,0.3524,0.0,0.5533,0.0024,0.6637,0.0197,0.7121,0.4472,0.7754,0.5533,0.0024,75.42,1.0,1.3132
ALL,-,176799.0,,0.6117,0.8621,0.2017,0.2705,0.1101,0.0008,0.1873,0.0068,0.256,0.0371,0.3149,0.2162,0.5902,0.1873,0.0068,,5.0,
MACRO,-,,,0.601,,0.2173,0.2723,0.1046,,0.1788,,0.2463,,,,,,,,,
