scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.5398,0.7943,0.0293,0.0961,0.0,0.0,0.0029,0.0002,0.0293,0.0101,0.0058,0.0246,0.5014,0.0029,0.0002,inf,0.0,1.687
ds2,static,22528.0,110.0,0.5352,0.8133,0.061,0.1297,0.0001,0.0,0.0228,0.0006,0.0732,0.0151,0.0445,0.0708,0.5111,0.0228,0.0006,61.74,1.0,1.687
ds3,static,22563.0,120.0,0.551,0.7889,0.0285,0.0938,0.0001,0.0,0.0057,0.0007,0.036,0.0148,0.0114,0.0327,0.5025,0.0057,0.0007,59.92,1.0,1.687
ds4,dynamic,22579.0,114.0,0.6327,0.85,0.0663,0.1702,0.0004,0.0,0.0145,0.0,0.0749,0.0114,0.0285,0.059,0.5072,0.0145,0.0,158.44,1.0,1.687
ds5,dynamic,20569.0,102.0,0.4104,0.7371,0.0166,0.0512,0.0001,0.0,0.0171,0.0109,0.0656,0.0689,0.0336,0.0211,0.5031,0.0171,0.0109,84.72,1.0,1.687
ds6,static,20577.0,105.0,0.4304,0.7264,0.0129,0.0348,0.0011,0.0,0.0109,0.0089,0.0438,0.0637,0.0214,0.008,0.501,0.0109,0.0089,65.8,1.0,1.687
ds7,static,23169.0,110.0,0.6205,0.8563,0.077,0.1783,0.0001,0.0,0.0269,0.0025,0.1119,0.0228,0.0524,0.0702,0.5122,0.0269,0.0025,inf,0.0,1.687
ds8,static,22611.0,110.0,0.6929,0.9016,0.1265,0.2667,0.0002,0.0,0.0428,0.0013,0.1632,0.0178,0.082,0.0918,0.5207,0.0428,0.0013,48.26,1.0,1.687
ALL,-,176799.0,,0.5543,0.8142,0.0402,0.1174,0.0003,0.0,0.0183,0.003,0.0761,0.0272,0.0359,0.0536,0.5077,0.0183,0.003,,6.0,
MACRO,-,,,0.5516,,0.0523,0.1276,0.0003,,0.018,,0.0747,,,,,,,,,
