scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.9967,0.9989,0.9405,0.9983,0.006,0.0,0.3133,0.0,0.9575,0.011,0.4771,0.3152,0.6566,0.3133,0.0,0.16,1.0,0.5974
ds2,static,22528.0,110.0,0.8834,0.9553,0.243,0.4316,0.0175,0.0,0.0929,0.0,0.253,0.0116,0.1701,0.1516,0.5465,0.0929,0.0,48.62,1.0,0.5974
ds3,static,22563.0,120.0,0.7791,0.9151,0.2196,0.3659,0.0494,0.0,0.1046,0.0002,0.238,0.0141,0.1893,0.1686,0.5522,0.1046,0.0002,53.12,1.0,0.5974
ds4,dynamic,22579.0,114.0,0.9746,0.9924,0.807,0.8979,0.1181,0.0,0.471,0.0,0.8087,0.0102,0.6404,0.4181,0.7355,0.471,0.0,1.98,1.0,0.5974
ds5,dynamic,20569.0,102.0,0.7456,0.8798,0.0472,0.1445,0.0052,0.0006,0.0616,0.0172,0.235,0.0935,0.1155,0.0848,0.5222,0.0616,0.0172,72.6,1.0,0.5974
ds6,static,20577.0,105.0,0.7537,0.8962,0.1099,0.2326,0.0264,0.0006,0.1337,0.0169,0.3132,0.087,0.2348,0.162,0.5584,0.1337,0.0169,59.7,1.0,0.5974
ds7,static,23169.0,110.0,0.9143,0.9769,0.7091,0.7796,0.3572,0.0,0.6347,0.0015,0.7405,0.0213,0.7763,0.5274,0.8166,0.6347,0.0015,99.18,1.0,0.5974
ds8,static,22611.0,110.0,0.976,0.9939,0.783,0.8811,0.4025,0.0,0.6691,0.0013,0.8207,0.0197,0.8016,0.5394,0.8339,0.6691,0.0013,40.62,1.0,0.5974
ALL,-,176799.0,,0.8928,0.9648,0.4074,0.6029,0.1285,0.0001,0.3189,0.0044,0.5537,0.0324,0.4831,0.3084,0.6572,0.3189,0.0044,,8.0,
MACRO,-,,,0.8779,,0.4824,0.5914,0.1228,,0.3101,,0.5458,,,,,,,,,
