scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.7835,0.8418,0.0107,0.0361,0.0066,0.0019,0.015,0.0171,0.054,0.0743,0.0295,-0.0073,0.4989,0.015,0.0171,inf,0.0,29.9727
ds2,static,22528.0,110.0,0.7696,0.8332,0.006,0.0282,0.0014,0.0017,0.009,0.0161,0.0414,0.0754,0.0178,-0.0287,0.4965,0.009,0.0161,inf,0.0,29.9727
ds3,static,22563.0,120.0,0.6821,0.7925,0.0044,0.0272,0.0012,0.0019,0.0073,0.0159,0.0398,0.0695,0.0144,-0.0385,0.4957,0.0073,0.0159,inf,0.0,29.9727
ds4,dynamic,22579.0,114.0,0.7498,0.8046,0.002,0.0111,0.0004,0.0026,0.0035,0.0166,0.0171,0.0765,0.007,-0.0683,0.4935,0.0035,0.0166,inf,0.0,29.9727
ds5,dynamic,20569.0,102.0,0.7704,0.8392,0.0073,0.0387,0.0007,0.0008,0.0085,0.0111,0.0438,0.0546,0.0169,-0.0115,0.4987,0.0085,0.0111,inf,0.0,29.9727
ds6,static,20577.0,105.0,0.746,0.8247,0.0063,0.0379,0.001,0.001,0.008,0.0118,0.0414,0.0561,0.0158,-0.0173,0.4981,0.008,0.0118,inf,0.0,29.9727
ds7,static,23169.0,110.0,0.7323,0.8218,0.0032,0.0174,0.0004,0.0008,0.0053,0.0151,0.0242,0.071,0.0105,-0.0474,0.4951,0.0053,0.0151,inf,0.0,29.9727
ds8,static,22611.0,110.0,0.7698,0.8448,0.0031,0.0177,0.0004,0.0009,0.0044,0.0147,0.0244,0.0707,0.0088,-0.0514,0.4949,0.0044,0.0147,inf,0.0,29.9727
ALL,-,176799.0,,0.7477,0.8256,0.0053,0.0261,0.0015,0.0015,0.0076,0.0149,0.0354,0.0688,0.015,-0.0322,0.4963,0.0076,0.0149,,0.0,
MACRO,-,,,0.7504,,0.0054,0.0268,0.0015,,0.0076,,0.0358,,,,,,,,,
