scenario,type,n_frames,onset_s,roc_auc,pr_auc,tpr@fpr1,tpr@fpr5,tpr@cf0p1,rfpr@0p1,tpr@cf1,rfpr@1,tpr@cf5,rfpr@5,f1,mcc,bal_acc,tpr,fpr,add_s,hit,threshold@1%
ds1,static,22203.0,125.0,0.7899,0.8687,0.0686,0.0969,0.0627,0.003,0.081,0.0261,0.1283,0.1125,0.1488,0.0937,0.5275,0.081,0.0261,8.7,1.0,32.3703
ds2,static,22528.0,110.0,0.7658,0.8261,0.005,0.0232,0.0013,0.0027,0.0109,0.0242,0.0494,0.1127,0.0215,-0.0474,0.4934,0.0109,0.0242,inf,0.0,32.3703
ds3,static,22563.0,120.0,0.4472,0.7019,0.0011,0.0067,0.0006,0.0025,0.0025,0.0231,0.0148,0.1089,0.0049,-0.1025,0.4897,0.0025,0.0231,inf,0.0,32.3703
ds4,dynamic,22579.0,114.0,0.6872,0.7802,0.0001,0.0012,0.0,0.0032,0.0005,0.0255,0.0035,0.116,0.001,-0.1327,0.4875,0.0005,0.0255,inf,0.0,32.3703
ds5,dynamic,20569.0,102.0,0.7746,0.8552,0.0288,0.0821,0.0005,0.0006,0.0068,0.0038,0.0344,0.0111,0.0136,0.0165,0.5015,0.0068,0.0038,inf,0.0,32.3703
ds6,static,20577.0,105.0,0.7633,0.8641,0.044,0.1444,0.0008,0.0002,0.0103,0.0033,0.0485,0.0112,0.0203,0.0324,0.5035,0.0103,0.0033,17.88,1.0,32.3703
ds7,static,23169.0,110.0,0.6342,0.7825,0.0003,0.0019,0.0001,0.0021,0.0007,0.0224,0.0057,0.1092,0.0014,-0.1215,0.4891,0.0007,0.0224,inf,0.0,32.3703
ds8,static,22611.0,110.0,0.7544,0.8244,0.0001,0.0007,0.0001,0.002,0.0003,0.0228,0.0027,0.1127,0.0007,-0.1293,0.4888,0.0003,0.0228,inf,0.0,32.3703
ALL,-,176799.0,,0.7035,0.8145,0.0109,0.0242,0.0082,0.0021,0.0139,0.0192,0.0352,0.0882,0.0273,-0.0181,0.4974,0.0139,0.0192,,2.0,
MACRO,-,,,0.7021,,0.0185,0.0446,0.0083,,0.0141,,0.0359,,,,,,,,,
